,US Equities,World Equities,US Treasuries,High Yield,Real Estate,Commodities,Corp Bonds,T-bill,TIPS,Regime-5,Regime-7,Regime-9
5/1/06,46.92,5253.406,518.1032,818.638,3353.21,7087.18,1507.524,1560.177,0.30%,1,1,1
6/1/06,46.18,5038.457,520.1125,817.898,3366.1,6849.07,1510.106,1566.523,0.28%,1,1,1
7/1/06,46.01,5044.877,521.5183,815.189,3510.77,6989.699,1511.288,1573.204,1.63%,1,1,1
8/1/06,45.35,5030.063,528.083,823.962,3556.63,7119.289,1533.963,1579.479,1.73%,1,1,1
9/1/06,46.91,5235.265,536.0396,837.466,3672.04,6503.195,1562.789,1586.241,0.16%,1,1,1
10/1/06,47.5,5247.344,540.679,848.377,3760.45,5786.703,1579.829,1592.827,-0.17%,1,1,1
11/1/06,49.01,5434.345,544.7631,861.779,3967.92,5746.828,1597.444,1599.364,1.24%,1,1,1
12/1/06,50.41,5578.394,550.2723,876.062,4172.86,6043.574,1619.611,1605.967,-2.34%,1,1,1
1/1/07,51.14,5742.362,544.6354,883.97,4131.39,5627.641,1601.264,1612.031,0.13%,1,1,1
2/1/07,52.42,5853.727,543.4265,895.012,4473.23,5439.199,1600.819,1619.606,2.13%,1,1,1
3/1/07,51.15,5771.695,552.7061,904.885,4288.8,5736.121,1634.078,1625.952,0.24%,1,1,1
4/1/07,52,5992.076,552.345,907.297,4251.47,5910.965,1624.987,1633.104,0.71%,1,1,1
5/1/07,54.05,6223.745,555.0547,919.088,4190.31,5861.605,1636.136,1639.52,-1.31%,1,1,1
6/1/07,56.14,6443.71,548.7879,925.586,4228.18,5876.402,1614.994,1646.216,-0.15%,1,1,1
7/1/07,55.61,6457.903,550.0985,909.326,3942.01,6037.414,1612.622,1652.76,2.27%,1,1,1
8/1/07,53.42,6214.307,559.4508,875.982,3528.57,6247.504,1616.253,1659.404,0.87%,1,1,1
9/1/07,53.87,6240.374,567.9403,889.091,3698.61,6067.395,1629.433,1665.25,1.33%,1,1,1
10/1/07,56.58,6627.956,571.4167,912.913,3930.37,6623.773,1643.613,1670.811,1.12%,1,1,1
11/1/07,55.38,6808.19,579.0296,915.863,3737.68,7271.762,1670.624,1676.43,3.97%,-1,-1,-1
12/1/07,54.03,6586.952,593.1855,897.924,3524.82,7071.422,1671.651,1681.289,-0.16%,-1,-1,-1
1/1/08,54.01,6484.103,593.6626,900.54,3394.71,7466.297,1674.293,1685.198,3.85%,-1,-1,-1
2/1/08,51.46,5994.447,610.35,889.872,3513.65,7307.609,1697.507,1689.395,1.34%,-1,-1,-1
3/1/08,49.21,5900.521,615.6086,876.401,3266.4,8373.492,1693.214,1692.466,-0.76%,-1,-1,-1
4/1/08,50.54,5977.826,615.9992,874.987,3568.3,8129.242,1663.215,1694.106,-1.12%,-1,-1,-1
5/1/08,52.15,6225.992,609.1341,913.43,3678.18,8741.801,1690.664,1695.93,0.02%,-1,-1,-1
6/1/08,51.87,6348.863,601.9161,914.311,3553.88,9737.934,1670.894,1698.544,1.69%,-1,-1,-1
7/1/08,48.26,5782.649,606.5719,884.606,3217.48,10636.48,1657.22,1701.067,-0.30%,-1,-1,-1
8/1/08,47.48,5579.416,610.2911,872.643,3301.67,9296.41,1651.242,1703.463,0.45%,-1,-1,-1
9/1/08,48.44,5377.204,617.089,879.976,3363.51,8609.477,1659.638,1705.737,-3.66%,-1,-1,-1
10/1/08,43.72,4704.827,623.6261,803.551,3280.09,7429.164,1529.556,1707.656,-8.85%,-1,-1,-1
11/1/08,36.15,3740.598,620.2362,680.966,2256.04,5235.656,1432.063,1708.641,2.19%,-1,-1,-1
12/1/08,30.26,3322.048,661.1573,616.583,1495.06,4316.117,1503.696,1708.865,3.44%,-1,-1,-1
1/1/09,33.9,3680.936,676.1225,665.001,2127.27,3995.392,1591.622,1708.904,1.69%,-1,-1,-1
2/1/09,31.16,3261.233,655.4879,704.859,1812.18,3541.1,1598.838,1709.102,-1.96%,-1,-1,-1
3/1/09,26.54,2847.439,651.9567,682.991,1324.89,3196.638,1567.385,1709.488,6.34%,1,1,1
4/1/09,30.81,3247.818,667.646,703.577,1480.38,3507.647,1563.512,1709.78,-2.94%,1,1,1
5/1/09,33.66,3625.226,652.9955,792.896,1839.63,3664.689,1612.656,1710.006,1.78%,1,1,1
6/1/09,36.25,4182.543,640.9648,849.192,2024.94,4380.348,1667.617,1710.26,1.13%,1,1,1
7/1/09,35.6,4098.425,646.2968,869.93,1927.16,4245.137,1723.765,1710.515,0.37%,1,1,1
8/1/09,38.77,4527.358,648.7013,920.183,2133.72,4415.332,1798.424,1710.799,1.12%,1,1,1
9/1/09,38.62,4570.401,655.6066,937.31,2239.03,4077.663,1831.934,1711.034,2.29%,1,1,1
10/1/09,40.02,4735.024,663.094,989.055,2398.77,4154.285,1871.809,1711.208,0.80%,1,1,1
11/1/09,40.32,4747.041,659.184,1008.504,2392.6,4488.672,1877.005,1711.32,2.60%,1,1,1
12/1/09,42.89,5000.328,666.4442,1020.295,2576.43,4541.383,1897.256,1711.388,-2.02%,1,1,1
1/1/10,43.49,4946.695,651.1459,1052.077,2711.15,4534.168,1888.998,1711.463,1.66%,1,1,1
2/1/10,42.59,4732.454,659.9165,1064.401,2627.49,4237.105,1912.666,1711.557,-1.21%,1,1,1
3/1/10,43.91,4724.441,663.3686,1069.747,2736.54,4368.016,1926.063,1711.702,-0.02%,1,1,1
4/1/10,46.47,5078.38,657.5621,1101.443,2983.3,4557.699,1930.654,1711.923,2.52%,1,1,1
5/1/10,47.74,4916.985,665.0834,1126.509,3268.67,4644.402,1967.571,1712.169,-0.06%,1,1,-1
6/1/10,42.54,4402.736,676.5231,1084.562,2939.77,3951.125,1957.184,1712.388,1.23%,1,1,-1
7/1/10,40.8,4315.007,689.2873,1098.769,2856.67,3936.786,2001.866,1712.561,0.40%,1,1,1
8/1/10,44.76,4873.989,693.3161,1138.647,3217.51,4350.695,2037.581,1712.802,1.26%,1,1,1
9/1/10,43.04,4733.165,703.6363,1141.472,3171.59,4097.859,2066.339,1713.021,1.38%,1,1,1
10/1/10,45.87,5069.613,706.8598,1176.08,3230.7,4386.305,2091.465,1713.236,2.55%,1,1,1
11/1/10,47.47,5233.338,705.8355,1204.162,3384.92,4511.516,2094.285,1713.433,-2.55%,1,1,1
12/1/10,48.71,5096.253,695.9798,1192.226,3336.29,4653.77,2059.422,1713.636,-0.89%,1,1,1
1/1/11,51.57,5420.419,688.9988,1211.186,3524.77,4961.445,2058.928,1713.852,0.13%,1,1,1
2/1/11,52.94,5626.567,686.692,1239.517,3604.91,5094.781,2058.089,1714.061,1.29%,1,1,1
3/1/11,53.05,5734.911,688.4796,1256.002,3645.62,5372.547,2080.939,1714.233,1.02%,1,1,1
4/1/11,54.38,5651.639,687.6027,1260.629,3700.04,5559.316,2078.016,1714.377,2.14%,1,1,1
5/1/11,55.52,5975.46,695.5583,1277.69,3873.19,5724.59,2112.313,1714.462,0.80%,-1,-1,-1
6/1/11,53.75,5739.772,708.7185,1284.754,3799.6,5280.73,2152.158,1714.52,0.15%,-1,-1,-1
7/1/11,54.85,5715.222,702.5608,1273.267,3870.08,5042.848,2122.071,1714.573,4.37%,-1,-1,-1
8/1/11,52.67,5543.808,718.3507,1286.537,3775.28,5185.734,2186.65,1714.631,1.41%,-1,-1,-1
9/1/11,49.09,5116.326,738.7032,1238.877,3556.04,5072.328,2190.214,1714.663,-1.09%,-1,-1,-1
10/1/11,44.47,4501.244,749.022,1194.319,3089.49,4442.93,2184.578,1714.685,3.09%,1,1,1
11/1/11,49.68,4845.432,748.861,1255.678,3549.22,4873.152,2236.702,1714.709,-0.74%,1,1,1
12/1/11,50.86,4835.506,746.536,1243.006,3509.64,4963.281,2175.599,1714.728,0.35%,1,1,1
1/1/12,51.46,4805.124,755.2207,1271.504,3710.61,4885.254,2226.653,1714.743,2.26%,1,1,1
2/1/12,54.57,5125.009,756.4246,1312.56,3983.99,4994.969,2271.199,1714.797,-0.77%,1,1,1
3/1/12,56.64,5325.291,751.0721,1342.173,3944.95,5370.09,2289.128,1714.923,-0.60%,1,1,1
4/1/12,58.47,5338.266,745.6473,1339.351,4125.88,5260.461,2272.943,1715.049,1.89%,1,1,1
5/1/12,57.9,5186.312,754.8181,1356.829,4243.66,5166.598,2299.167,1715.164,2.33%,1,1,1
6/1/12,52.69,4534.555,772.857,1328.889,3946.6,4363.949,2330.373,1715.295,-1.07%,1,1,1
7/1/12,56.4,4937.596,766.4116,1363.904,4327.99,4516.582,2330.301,1715.427,1.74%,1,1,1
8/1/12,56.55,4970.426,772.3288,1391.969,4363.17,4834.441,2392.145,1715.565,-0.14%,1,1,1
9/1/12,58.16,5130.444,773.0331,1406.118,4401.71,5127.734,2402.681,1715.709,0.68%,1,1,1
10/1/12,59.8,5322.298,771.0895,1427.594,4335.94,5064.316,2422.948,1715.863,0.53%,1,1,1
11/1/12,59.3,5344.494,768.4217,1439.918,4355.12,4857.824,2444.786,1716.021,0.64%,1,1,1
12/1/12,58.75,5441.964,773.2682,1449.72,4334.2,4926.477,2446.813,1716.16,-0.65%,1,1,1
1/1/13,59.72,5588.62,770.122,1472.562,4458.1,4889.008,2445.252,1716.246,-0.95%,1,1,1
2/1/13,63.58,5899.833,763.2936,1492.994,4678.32,5129.902,2419.069,1716.358,0.57%,1,1,1
3/1/13,63.9,5763.141,768.8542,1500.131,4729.08,4836.453,2444.687,1716.487,0.21%,1,1,1
4/1/13,65.88,5830.78,769.4454,1515.884,4873.66,4901.262,2445.738,1716.615,0.56%,1,1,1
5/1/13,66.66,6111.603,776.7673,1546.134,5102.56,4582.988,2494.294,1716.699,-4.33%,1,1,1
6/1/13,69.3,5967.766,762.3342,1533.616,4827.14,4666.836,2428.935,1716.768,-3.49%,1,1,1
7/1/13,68.51,5833.571,754.5442,1495.536,4680.89,4660.086,2364.578,1716.833,0.08%,1,1,1
8/1/13,72.71,6142.022,749.7534,1521.3,4703.7,4913.379,2364.802,1716.886,-0.91%,1,1,1
9/1/13,69.69,6083.843,750.1162,1512.464,4429.76,5015.387,2364.844,1716.947,1.33%,1,1,1
10/1/13,72.82,6459.745,754.0873,1528.814,4650.65,4823.016,2379.113,1716.973,-0.05%,1,1,1
11/1/13,75.47,6583.905,756.625,1565.788,4796.93,4696.461,2407.11,1717.045,-0.37%,1,1,1
12/1/13,77.22,6648.253,756.2809,1573.7,4533.2,4764.223,2411.69,1717.142,-1.47%,1,1,1
1/1/14,79.46,6793.91,749.6852,1582.193,4601.14,4829.465,2407.752,1717.235,1.98%,1,1,1
2/1/14,75.1,6460.969,759.4825,1593.286,4673.44,4726.438,2451.39,1717.309,0.45%,1,1,1
3/1/14,79.95,6759.675,761.4396,1625.52,4979.55,5045.418,2476.882,1717.377,-0.67%,1,1,1
4/1/14,81.73,6880.642,758.4907,1630.478,5017.68,4910.066,2475.017,1717.449,1.97%,1,1,1
5/1/14,81.25,6988.514,764.7585,1640.329,5165.08,4978.453,2516.496,1717.494,1.70%,1,1,1
6/1/14,83.06,7096.23,770.361,1654.765,5290.42,4990.605,2542.506,1717.544,-0.11%,1,1,1
7/1/14,85.62,7231.099,767.7482,1669.067,5359.91,5098.59,2537.102,1717.592,0.62%,1,1,1
8/1/14,83.21,7003.493,770.1733,1637.542,5323.81,4802.34,2546.979,1717.628,0.26%,1,1,1
9/1/14,86.85,7061.614,776.0969,1672.43,5513.81,4755.742,2579.745,1717.671,-1.75%,1,1,1
10/1/14,83.95,6718.318,775.6271,1640.17,5208.4,4459.805,2560.423,1717.704,0.09%,1,1,1
11/1/14,87.44,6588.676,779.2492,1656.89,5695.95,4172.156,2568.562,1717.728,0.10%,1,1,1
12/1/14,88.88,6731.984,784.4969,1633.59,5767.74,3827.075,2578.67,1717.756,-0.97%,1,1,1
1/1/15,89.56,6530.307,786.5908,1621,5850.23,3232.798,2587.439,1717.794,3.15%,1,1,1
2/1/15,88.14,6549.771,806.7423,1631.71,6166.71,3041.532,2665.935,1717.836,-1.20%,1,1,1
3/1/15,92.62,6875.256,794.3653,1671.04,6048.09,3121.984,2638.922,1717.859,0.31%,1,1,1
4/1/15,90.69,6799.817,801.6622,1662.27,6085.62,3042.351,2659.589,1717.897,-0.53%,1,1,1
5/1/15,92.41,7072.11,792.1602,1682.26,5838.92,3282.228,2615.782,1717.929,-1.14%,1,1,1
6/1/15,92.88,7007.537,789.7399,1686.536,5854.29,3225.205,2591.159,1717.952,-0.67%,1,1,1
7/1/15,91.65,6880.136,783.2778,1665.457,5622.2,3167.137,2553.524,1717.975,0.70%,1,1,1
8/1/15,92.36,6933.094,793.1564,1652.261,5843.03,2700.083,2580.947,1718.025,-1.02%,1,1,1
9/1/15,84.61,6285.988,794.3275,1621.577,5381.94,2657.507,2567.888,1718.12,0.11%,1,1,1
10/1/15,84.9,6157.901,800.8074,1577.979,5610.23,2584.551,2585.182,1718.147,-0.19%,1,1,1
11/1/15,92.72,6554.153,797.4825,1624.704,6054.8,2588.716,2595.602,1718.174,0.27%,1,1,1
12/1/15,92.9,6524.184,797.0611,1592.248,5989.14,2386.579,2602.044,1718.349,-1.15%,1,1,1
1/1/16,90.16,6360.372,792.9698,1548.579,5984.18,2170.615,2569.73,1718.669,1.12%,1,1,1
2/1/16,85.19,5966.692,807.8841,1520.831,5781,2005.392,2570.017,1719.042,1.16%,1,1,1
3/1/16,87.21,5900.695,812.2887,1545.981,5905.68,2024.285,2588.827,1719.469,2.02%,1,1,1
4/1/16,91.74,6113.803,817.3797,1600.354,6334.23,2070.556,2670.585,1719.905,0.44%,1,1,1
5/1/16,92.54,6428.117,817.1118,1663.166,6320.48,2296.962,2708.362,1720.242,-0.85%,1,1,1
6/1/16,93.63,6358.65,816.6785,1670.031,6382.26,2387.4,2704.248,1720.637,2.78%,1,1,1
7/1/16,93.98,6242.304,836.6978,1695.466,6807.46,2400.04,2778.146,1721.022,-0.27%,1,1,1
8/1/16,97.29,6474.444,836.4364,1734.359,7090.61,2112.299,2797.841,1721.457,0.07%,1,1,1
9/1/16,97.68,6544.379,833.7245,1770.023,6818.94,2154.703,2812.466,1721.896,0.62%,1,1,1
10/1/16,97.45,6594.07,832.6447,1782.589,6624.52,2300.337,2806.149,1722.34,-0.31%,1,1,1
11/1/16,95.09,6462.048,824.5741,1780.55,6265.52,2245.066,2783.686,1722.787,-2.22%,1,1,1
12/1/16,99.8,6368.346,798.7712,1780.867,6180.5,2354.681,2697.858,1723.428,0.12%,1,1,1
1/1/17,102.21,6587.272,801.122,1813.846,6539.68,2417.311,2726.778,1724.13,0.75%,1,1,1
2/1/17,104.06,6772.088,801.9218,1841.995,6482.13,2418.545,2731.463,1724.936,-0.14%,1,1,1
3/1/17,109.4,6874.186,801.7458,1871.441,6809.24,2394.746,2750.04,1725.634,0.65%,1,1,1
4/1/17,107.68,7001.068,806.4564,1862.806,6742.44,2279.809,2760.116,1726.799,0.12%,1,1,1
5/1/17,109.32,7200.085,809.9775,1885.155,6810.33,2240.402,2782.231,1727.87,0.38%,1,1,1
6/1/17,111.18,7454.752,816.5504,1902.742,6798.4,2209.488,2819.349,1729.196,-0.90%,1,1,1
7/1/17,111.48,7454.922,815.9787,1903.273,6973.31,2201.153,2830.312,1730.707,0.61%,1,1,1
8/1/17,113.5,7723.62,819.2327,1925.741,7005.35,2239.534,2859.741,1732.193,0.76%,1,1,1
9/1/17,113.79,7696.028,824.2513,1924.768,7028.27,2253.928,2866.675,1733.708,-0.50%,1,1,1
10/1/17,116.79,7857.747,819.0804,1940.87,6970.01,2295.602,2868.164,1735.24,0.25%,1,1,1
11/1/17,118.84,7996.401,818.0714,1949.798,6979.23,2415.483,2880.418,1736.793,0.49%,1,1,1
12/1/17,122.12,8000.691,819.6345,1944.197,7166.4,2478.921,2887.387,1738.572,0.52%,1,1,1
1/1/18,123.67,8199.97,819.5388,1949.967,7145.73,2556.708,2901.783,1740.341,-1.20%,1,1,1
2/1/18,130.16,8584.681,806.0764,1959.731,6793.76,2665.627,2865.653,1742.651,-0.30%,1,1,1
3/1/18,123.88,8067.155,805.2002,1941.508,6412.5,2542.466,2831.351,1744.77,0.77%,1,1,1
4/1/18,120,8034.279,809.9427,1933.242,6583.04,2567.746,2834.542,1747.397,-0.50%,1,1,1
5/1/18,123.55,8180.62,801.7301,1943.779,6749.88,2716.404,2798.285,1749.869,0.45%,1,1,1
6/1/18,127.92,8113.488,807.4964,1946.994,6971.75,2759.11,2811.74,1752.677,0.89%,1,1,1
7/1/18,127.86,7895.741,810.8873,1953.09,7193.52,2776.562,2806.885,1755.542,-0.84%,1,1,1
8/1/18,131.74,8177.647,805.7469,1974.994,7315.24,2679.361,2823.169,1758.401,0.97%,1,1,1
9/1/18,136.47,8028.067,813.5568,1988.965,7450.32,2751.35,2844.2,1761.373,-1.22%,1,1,1
10/1/18,136.91,8110.1,805.0234,2003.873,7208.82,2917.345,2831.636,1764.591,0.38%,1,1,1
11/1/18,140.157,8102.6736,807.85921,2018.4731,7447.212,2864.123,2846.6581,1767.4145,-0.90%,1,1,1
12/1/18,142.816,8115.2286,807.63156,2033.4364,7520.306,2893.2488,2854.3688,1770.3804,0.61%,1,1,1
1/1/19,145.475,8127.7836,807.40391,2048.3997,7593.4,2922.3746,2862.0795,1773.3463,0.76%,1,1,1
